prompt,flux,stable_diffusion
"photo of a rhino dressed suit and tie sitting at a table in a bar with a bar stools, award winning photography, Elke vogelsang","{'url': 'https://v3.fal.media/files/tiger/4tc968vzkwOPhoEGWcD5i.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A futuristic cityscape at sunset, ultra detailed, 8k, trending on artstation","{'url': 'https://v3.fal.media/files/panda/6uh51pkXyc7bnAxGenn9C.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A cat astronaut floating in space, watercolor style","{'url': 'https://v3.fal.media/files/rabbit/eBmOJN_y45MUo2nHBybzL.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A serene mountain lake at dawn, photorealistic","{'url': 'https://v3.fal.media/files/tiger/TcFyjSR2W8hFUqg9wwgnY.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A robot painter creating a masterpiece, digital art","{'url': 'https://v3.fal.media/files/kangaroo/QuoBF3u1XjP7DrR3GTroi.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A fantasy castle on a floating island, epic lighting","{'url': 'https://v3.fal.media/files/lion/PXu8-ijOkX0L8zMA8lz7M.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A close-up portrait of a lion wearing glasses, studio lighting","{'url': 'https://v3.fal.media/files/penguin/jk6xTPE78IJaUyY_SFayM.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
A cyberpunk street scene with neon lights and rain,"{'url': 'https://v3.fal.media/files/koala/IyWUtBBTFOkdSKqqhJ8AA.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
A magical forest with glowing plants and fairies,"{'url': 'https://v3.fal.media/files/zebra/ZdefW8FFfrQKSMf5DpiLs.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A delicious bowl of ramen on a wooden table, food photography","{'url': 'https://v3.fal.media/files/kangaroo/eZJszSlURkh0fIObmLig-.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
