prompt,hunyuan,flux,stable_diffusion
"photo of a rhino dressed suit and tie sitting at a table in a bar with a bar stools, award winning photography, Elke vogelsang","{'url': 'https://v3.fal.media/files/elephant/g_IWt3xVVlPhMB11JP5uq_generated_image_0.png', 'content_type': 'application/octet-stream', 'file_name': 'generated_image_0.png', 'file_size': 1061772, 'width': None, 'height': None}","{'url': 'https://v3.fal.media/files/penguin/XmKpwjL1DR_8ga4PJ7iCI.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A futuristic cityscape at sunset, ultra detailed, 8k, trending on artstation","{'url': 'https://v3.fal.media/files/koala/fczl-fTX42he5I3JCSZ-x_generated_image_0.png', 'content_type': 'application/octet-stream', 'file_name': 'generated_image_0.png', 'file_size': 1062813, 'width': None, 'height': None}","{'url': 'https://v3.fal.media/files/rabbit/YjvN929r4doxoWH8tfyTq.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A cat astronaut floating in space, watercolor style","{'url': 'https://v3.fal.media/files/monkey/qC5aY29DiunibAUaYg5S2_generated_image_0.png', 'content_type': 'application/octet-stream', 'file_name': 'generated_image_0.png', 'file_size': 1236790, 'width': None, 'height': None}","{'url': 'https://v3.fal.media/files/panda/mJ1N_komUbbgnI5hBX7pj.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A serene mountain lake at dawn, photorealistic","{'url': 'https://v3.fal.media/files/koala/TOfVd8--yzKfkHpkqtbXS_generated_image_0.png', 'content_type': 'application/octet-stream', 'file_name': 'generated_image_0.png', 'file_size': 853483, 'width': None, 'height': None}","{'url': 'https://v3.fal.media/files/rabbit/AA9Dhsklk81BIGqq5LCdV.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A robot painter creating a masterpiece, digital art","{'url': 'https://v3.fal.media/files/zebra/rGod_BCh1rEEsOhKhDBMg_generated_image_0.png', 'content_type': 'application/octet-stream', 'file_name': 'generated_image_0.png', 'file_size': 1129840, 'width': None, 'height': None}","{'url': 'https://v3.fal.media/files/tiger/X1VaCHRpFHQ0-C9O3s2-f.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A fantasy castle on a floating island, epic lighting","{'url': 'https://v3.fal.media/files/koala/O7xiJ4e_q81bGKAEWq2wx_generated_image_0.png', 'content_type': 'application/octet-stream', 'file_name': 'generated_image_0.png', 'file_size': 1081335, 'width': None, 'height': None}","{'url': 'https://v3.fal.media/files/zebra/B1qqCgRAL_MK4pNe0rA8z.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A close-up portrait of a lion wearing glasses, studio lighting","{'url': 'https://v3.fal.media/files/koala/EzHvfrxZoxDF5Yovk8-MO_generated_image_0.png', 'content_type': 'application/octet-stream', 'file_name': 'generated_image_0.png', 'file_size': 1219267, 'width': None, 'height': None}","{'url': 'https://v3.fal.media/files/tiger/PM_devGg-wHDfUAe93zNe.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
A cyberpunk street scene with neon lights and rain,"{'url': 'https://v3.fal.media/files/elephant/oOwupU9j8dX6aXufEeq0d_generated_image_0.png', 'content_type': 'application/octet-stream', 'file_name': 'generated_image_0.png', 'file_size': 1207529, 'width': None, 'height': None}","{'url': 'https://v3.fal.media/files/koala/-l5Nxm-q29Hw0WY5z5H1m.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
A magical forest with glowing plants and fairies,"{'url': 'https://v3.fal.media/files/tiger/fb0Gcvb5dB6riNDKrR0Xy_generated_image_0.png', 'content_type': 'application/octet-stream', 'file_name': 'generated_image_0.png', 'file_size': 1228274, 'width': None, 'height': None}","{'url': 'https://v3.fal.media/files/koala/IZjvI5fhqkRtlPGIFWg-l.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A delicious bowl of ramen on a wooden table, food photography","{'url': 'https://v3.fal.media/files/penguin/kDKSwx8zxtgaiWnRHrEbU_generated_image_0.png', 'content_type': 'application/octet-stream', 'file_name': 'generated_image_0.png', 'file_size': 1062724, 'width': None, 'height': None}","{'url': 'https://v3.fal.media/files/tiger/Uyx3oMRSakvKA9AQbk3ah.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
